name,website,phone,url,categories,distance,page_number,scrape_timestamp,address_street,address_city,address_region,address_postal_code
Cangurhu,,813-550-0550,https://www.yellowpages.ca/bus/Ontario/Aurora/Cangurhu/104575337.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,40.1,1,2025-07-07T21:12:06.252780,115 Morland Cres,Aurora,ON,L4G 7Z1
El Gourmet Express Inc,,416-628-3202,https://www.yellowpages.ca/bus/Ontario/Toronto/El-Gourmet-Express-Inc/104582462.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,,1,2025-07-07T21:12:06.252780,820 Church St,Toronto,ON,M4W 2M9
THE SAJ WRAPS,,437-529-3085,https://www.yellowpages.ca/bus/Ontario/Toronto/THE-SAJ-WRAPS/101750958.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.1,1,2025-07-07T21:12:06.252780,975 Bloor st W,Toronto,ON,M6H 1L7
Bardi's Steak House,,647-849-3738,https://www.yellowpages.ca/bus/Ontario/Toronto/Bardi-s-Steak-House/156059.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.5,1,2025-07-07T21:12:06.252780,56 York Street,Toronto,ON,M5J 1S8
Mezza Notte Trattoria,,416-222-2888,https://www.yellowpages.ca/bus/Ontario/North-York/Mezza-Notte-Trattoria/1057443.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,9.6,1,2025-07-07T21:12:06.252780,3169 Dufferin St,North York,ON,M6A 2S9
Kalyvia Restaurant,,416-463-3333,https://www.yellowpages.ca/bus/Ontario/Toronto/Kalyvia-Restaurant/2348447.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.9,1,2025-07-07T21:12:06.252780,420 Danforth Ave,Toronto,ON,M4K 1P3
Dim Sum King,https://order.tbdine.com/dimsumking,647-360-4006,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Dim-Sum-King/7730741.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.3,1,2025-07-07T21:12:06.252780,421 Dundas St W,Toronto,ON,M5T 2W4
Bardi's Steak House,,647-849-3738,https://www.yellowpages.ca/bus/Ontario/Toronto/Bardi-s-Steak-House/156059.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.5,1,2025-07-07T21:12:06.252780,56 York Street,Toronto,ON,M5J 1S8
Kingyo Izakaya,https://order.tbdine.com/kingyo,647-748-2121,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Kingyo-Izakaya/8094505.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.0,1,2025-07-07T21:12:06.262795,51 Winchester St,Toronto,ON,M4X 1A8
Taverna Mercatto,,416-368-9000,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Taverna-Mercatto/100824265.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.8,1,2025-07-07T21:12:06.263618,120 Bremner,Toronto,ON,M5J 3A6
Woods Restaurant,,416-214-9918,https://www.yellowpages.ca/bus/Ontario/Toronto/Woods-Restaurant/8208673.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.4,1,2025-07-07T21:12:06.263618,47 Colborne St,Toronto,ON,M5E 1P8
Halibut House,,416-901-7997,https://www.yellowpages.ca/bus/Ontario/Toronto/Halibut-House/101714084.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.8,1,2025-07-07T21:12:06.263618,103-2151 St Clair Ave W,Toronto,ON,M6N 1K5
By The Way,,416-967-4295,https://www.yellowpages.ca/bus/r/Ontario/Toronto/By-The-Way/257389.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.9,1,2025-07-07T21:12:06.265635,400 Bloor St W,Toronto,ON,M5S 1X5
Via Norte Restaurant,,647-348-1116,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Via-Norte-Restaurant/7149712.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,1,2025-07-07T21:12:06.265635,938 College St,Toronto,ON,M6H 1A4
