name,phone,website,url,categories,page_number,scraped_at,address_street,address_city,address_region,address_postal_code
Eglinton West Dental,647-484-2557,,https://www.yellowpages.ca/bus/Ontario/Toronto/Eglinton-West-Dental/100061167.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.180985,1114 Eglinton Ave W,Toronto,ON,M6C 2E2
Dentistry on Danforth,647-360-3815,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dentistry-on-Danforth/2223561.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.180985,249 Danforth Ave,Toronto,ON,M4K 1N2
Dr Steven & Dr Jonathan Stern Dentistry,647-846-7243,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Steven-Dr-Jonathan-Stern-Dentistry/5251078.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.180985,2-49 Eglinton Ave E,Toronto,ON,M4P 1G6
Danforth Dentistry - Dr. Strugurescu,647-723-9559,,https://www.yellowpages.ca/bus/Ontario/Toronto/Danforth-Dentistry-Dr-Strugurescu/2557552.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.180985,309-745 Danforth Ave,Toronto,ON,M4J 1L4
Vernon Koo,647-498-0073,,https://www.yellowpages.ca/bus/Ontario/Toronto/Vernon-Koo/2804792.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.180985,1920 Yonge St,Toronto,ON,M4S 3E2
Dr Robert Elia,416-512-6431,,https://www.yellowpages.ca/bus/Ontario/North-York/Dr-Robert-Elia/7858741.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.183533,175 York Mills Rd,North York,ON,M2L 1K6
Dr Violeta Danciu,416-533-4973,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Violeta-Danciu/3790627.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.183533,2329 Dundas St W,Toronto,ON,M6R 1X6
Dr Paul S Monczka,416-424-3477,,https://www.yellowpages.ca/bus/Ontario/East-York/Dr-Paul-S-Monczka/102357714.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.183533,103-795 Eglinton Ave E,East York,ON,M4G 4E4
Royal Bank Plaza Dental Centre,437-889-3282,,https://www.yellowpages.ca/bus/Ontario/Toronto/Royal-Bank-Plaza-Dental-Centre/3569052.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.183533,200 Bay St,Toronto,ON,M5J 2J3
Dagys Arlene P Dr,416-690-8525,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dagys-Arlene-P-Dr/2216530.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.183533,340 Kingston Road,Toronto,ON,M4L 1T7
Dr Marta Prystayko,647-484-2943,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Marta-Prystayko/8185515.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.185536,305-2425 Bloor St W,Toronto,ON,M6S 4W4
Endodontic Specialists - Bay Street,416-963-9988,,https://www.yellowpages.ca/bus/Ontario/Toronto/Endodontic-Specialists-Bay-Street/1782009.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.185536,1235 Bay St.,Toronto,ON,M5R 3K4
Yonge Eglinton Periodontics & Implant Surgery,416-481-1179,,https://www.yellowpages.ca/bus/Ontario/Toronto/Yonge-Eglinton-Periodontics-Implant-Surgery/8002632.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.185536,2300 Yonge Street,Toronto,ON,M4P 1E4
Oral Surgery Practice,416-924-9673,,https://www.yellowpages.ca/bus/Ontario/Toronto/Oral-Surgery-Practice/1171969.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.185536,340 College St,Toronto,ON,M5T 3A9
Forest Hill Village Orthodontics,416-789-1231,,https://www.yellowpages.ca/bus/Ontario/Toronto/Forest-Hill-Village-Orthodontics/6558898.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.185536,740 Eglinton Ave W,Toronto,ON,M5N 1C4
Scarlett Road Dentistry,416-763-3773,,https://www.yellowpages.ca/bus/Ontario/York/Scarlett-Road-Dentistry/1405725.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.187538,263 Scarlett Rd,York,ON,M6N 4L1
Dr Mark Nusinoff,416-488-6633,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Mark-Nusinoff/3976625.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.187538,203-2179 Yonge St,Toronto,ON,M4S 2B1
Concorde Dental,647-360-3931,,https://www.yellowpages.ca/bus/Ontario/North-York/Concorde-Dental/5897071.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.187538,1 Concorde Gate,North York,ON,M3C 3N6
Galleria Dental | Dr. I. Costache & Associates,416-534-9991,,https://www.yellowpages.ca/bus/Ontario/Toronto/Galleria-Dental-Dr-I-Costache-Associates/6567377.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.187538,1066 Bloor St W,Toronto,ON,M6H 1M6
Coxwell Dental Health Centre,416-463-2523,,https://www.yellowpages.ca/bus/Ontario/Toronto/Coxwell-Dental-Health-Centre/487008.html?what=Dentists&where=Toronto+ON&useContext=true,Dental Clinics & Centres,1,2025-07-07T23:40:15.187538,721 Coxwell Ave,Toronto,ON,M4C 3C3
George Zarb Dentistry Professional Corporation,416-488-1643,,https://www.yellowpages.ca/bus/Ontario/Toronto/George-Zarb-Dentistry-Professional-Corporation/903319.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.187538,2300 Yonge St,Toronto,ON,M4P 1E4
Sturm Judy Dr,416-967-4212,,https://www.yellowpages.ca/bus/Ontario/Toronto/Sturm-Judy-Dr/7297755.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.189540,77 Bloor St W,Toronto,ON,M5S 1M2
Crossways Family Dental,416-535-5799,,https://www.yellowpages.ca/bus/Ontario/Toronto/Crossways-Family-Dental/850033.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.189540,2340 Dundas St W,Toronto,ON,M6P 4A9
Yorkville Oral & Maxillofacial Surgery,416-923-2100,,https://www.yellowpages.ca/bus/Ontario/Toronto/Yorkville-Oral-Maxillofacial-Surgery/1743541.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.189540,130 Bloor Street West,Toronto,ON,M5S 1N5
Dr Miriam Grushka,416-787-2930,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Miriam-Grushka/2302675.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.189540,2-974 Eglinton Ave W,Toronto,ON,M6C 2C5
Borovac Dentistry,416-922-1012,,https://www.yellowpages.ca/bus/Ontario/Toronto/Borovac-Dentistry/884378.html?what=Dentists&where=Toronto+ON&useContext=true,Dental Clinics & Centres,1,2025-07-07T23:40:15.189540,60 Bloor St W,Toronto,ON,M4W 3B8
Doctor Morrow Marlene,416-256-0907,,https://www.yellowpages.ca/bus/Ontario/North-York/Doctor-Morrow-Marlene/2418973.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.189540,1916 Avenue Road,North York,ON,M5M 4A1
Oral Surgery Practice,416-924-9673,,https://www.yellowpages.ca/bus/Ontario/Toronto/Oral-Surgery-Practice/364307.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,340 College Street,Toronto,ON,M5T 3A9
Dr Daniel Zimmerman,416-767-6591,,https://www.yellowpages.ca/bus/Ontario/York/Dr-Daniel-Zimmerman/3053408.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,883 Jane St,York,ON,M6N 4C4
Basrani Bettina Dr,416-932-2222,,https://www.yellowpages.ca/bus/Ontario/Toronto/Basrani-Bettina-Dr/6654848.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,2345 Yonge St,Toronto,ON,M4P 2E5
Fisher Randy Dr,416-932-2222,,https://www.yellowpages.ca/bus/Ontario/Toronto/Fisher-Randy-Dr/6655811.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,2345 Yonge St,Toronto,ON,M4P 2E5
Staibano Philip Dr,416-247-9257,,https://www.yellowpages.ca/bus/Ontario/North-York/Staibano-Philip-Dr/1499031.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,2221 Keele St,North York,ON,M6M 3Z5
Doctor Mincer Samuel,416-256-0907,,https://www.yellowpages.ca/bus/Ontario/North-York/Doctor-Mincer-Samuel/4158212.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.191542,1916 Avenue Road,North York,ON,M5M 4A1
Dr Bruce Stanley,416-488-6633,,https://www.yellowpages.ca/bus/Ontario/Toronto/Dr-Bruce-Stanley/6396088.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.193285,203-2179 Yonge St,Toronto,ON,M4S 2B1
Rozansky K Dr,416-932-2222,,https://www.yellowpages.ca/bus/Ontario/Toronto/Rozansky-K-Dr/1370616.html?what=Dentists&where=Toronto+ON&useContext=true,Dentists,1,2025-07-07T23:40:15.193285,2345 Yonge St,Toronto,ON,M4P 2E5
